Sire,Dam,animal,Column,Block,Chosen/Rejected,Vial,l2,l3,l4,l5
3,89,393,F,1,0,89,1.679633405,0.332055207,0.311006924,0.738347953
3,89,394,F,1,1,89,1.706950497,0.330210438,0.242455514,0.586628017
3,89,395,F,1,0,89,1.709660858,0.40310362,0.235504355,0.714006474
3,89,396,F,1,0,89,1.714432737,0.37446127,0.260564997,0.634321615
3,89,397,B,1,0,89,1.667953212,0.283392137,0.254684833,0.66063721
3,89,398,B,1,0,89,1.652347077,0.276830562,0.331453787,0.731598911
3,89,399,B,1,1,89,1.69792959,0.368564945,0.251693117,0.675182491
3,89,400,B,1,0,89,1.712403636,0.375573457,0.276756749,0.621677873
4,90,401,B,1,0,90,1.722710015,0.25903303,0.189676517,0.640858836
4,90,402,B,1,0,90,1.742556291,0.272022732,0.250300031,0.640102424
4,90,403,B,1,0,90,1.697305071,0.218516897,0.215403082,0.627155184
4,90,404,B,1,1,90,1.737039064,0.302154098,0.240062205,0.589394957
4,90,405,B,1,0,90,1.738629381,0.280873704,0.232880937,0.638454372
4,91,406,F,1,0,91,1.669207204,0.208441748,0.18328518,0.553865607
4,91,407,F,1,1,91,1.66480744,0.195940205,0.197029149,0.545222195
4,91,408,F,1,0,91,1.670629997,0.215481391,0.165812641,0.453833204
4,91,409,F,1,1,91,1.662398688,0.185820784,0.19380195,0.582121566
4,91,410,F,1,0,91,1.648238571,0.153873402,0.188197189,0.551131805
4,91,411,B,1,0,91,1.666742878,0.252062268,0.210467091,0.495569414
4,91,412,B,1,0,91,1.675601889,0.286643032,0.132570938,0.498994165
4,91,413,B,1,0,91,1.689735884,0.242748705,0.183044179,0.561086445
4,91,414,B,1,1,91,1.668360052,0.261468802,0.159320755,0.521308767
4,91,415,B,1,0,91,1.685224873,0.299916493,0.132190412,0.575280527
4,92,416,F,1,1,92,1.687023462,0.272000215,0.32052157,0.344012362
4,92,417,F,1,1,92,1.69620015,0.257275334,0.315144928,0.428788117
4,92,418,F,1,1,92,1.6979104,0.280518439,0.285998371,0.45305053
4,92,419,F,1,0,92,1.718315787,0.294264299,0.266145627,0.261561164
5,93,420,F,1,0,93,1.713078793,0.204996706,0.10453152,0.584916451
5,93,421,F,1,1,93,1.707769671,0.205518612,0.225183695,0.700003604
5,93,422,F,1,0,93,1.672335697,0.172528979,0.111624976,0.635318078
5,93,423,F,1,1,93,1.670421023,0.218449949,0.195008898,0.65833747
5,93,424,F,1,0,93,1.655189257,0.168321365,0.186902327,0.65333365
5,93,425,B,1,0,93,1.676726522,0.212836583,0.237013072,0.682104266
5,93,426,B,1,0,93,1.668197703,0.300980537,0.242682022,0.651054131
5,93,427,B,1,1,93,1.634369951,0.274556202,0.220522073,0.612948668
5,93,428,B,1,1,93,1.667136016,0.153704503,0.060901033,0.624374505
5,93,429,B,1,1,93,1.620888909,0.124643815,0.105183672,0.613235319
5,94,430,F,1,1,94,1.683239681,0.370224694,0.209619022,0.539383188
5,94,431,F,1,1,94,1.628608152,0.153930572,0.117954895,0.638681856
5,94,432,F,1,0,94,1.657492955,0.185725265,0.17575308,0.593656367
5,94,433,F,1,1,94,1.677794921,0.224918773,0.181248326,0.629548169
5,94,434,F,1,0,94,1.641593146,0.193396791,0.208120428,0.590686303
5,94,435,B,1,1,94,1.675122297,0.159204614,0.053814948,0.705098097
5,94,436,B,1,0,94,1.691363033,0.18135169,0.021790373,0.639095546
5,94,437,B,1,1,94,1.679817868,0.1311098,0.073627894,0.586165062
5,94,438,B,1,0,94,1.753018048,0.42146439,0.331386874,0.285288335
5,94,439,B,1,1,94,1.619445749,0.012071477,-0.071300427,0.659793871
5,95,440,F,1,0,95,1.613068824,0.30072928,0.278488419,0.326444749
5,95,441,F,1,1,95,1.603345272,0.291572189,0.279621651,0.336593266
5,95,442,F,1,0,95,1.575028472,0.223120336,0.238792793,0.333554641
5,95,443,F,1,1,95,1.621205496,0.311969849,0.290104647,0.425329256
6,96,444,F,1,1,96,1.709458335,0.302674268,0.219052694,0.70200905
6,96,445,F,1,0,96,1.712311127,0.326391352,0.202586628,0.634063746
6,96,446,F,1,1,96,1.691562101,0.318384987,0.215895365,0.754792387
6,96,447,F,1,0,96,1.673612613,0.306211332,0.233361447,0.611420375
6,96,448,B,1,0,96,1.696538938,0.263759415,0.290014198,0.639417906
6,96,449,B,1,0,96,1.701339657,0.282283592,0.267847887,0.579787441
6,96,450,B,1,0,96,1.686268394,0.280904747,0.334078873,0.63416302
6,96,451,B,1,1,96,1.834318636,0.573449517,0.712102757,0.666018003
6,96,452,B,1,1,96,1.673681213,0.246081116,0.346275335,0.68282127
6,96,453,B,1,0,96,1.700799445,0.265551786,0.298642405,0.686663082
6,97,454,F,1,0,97,1.66605425,0.41299347,0.499732676,0.483294504
6,97,455,F,1,0,97,1.672846551,0.392491825,0.536846743,0.556946957
6,97,456,F,1,1,97,1.638532855,0.320276978,0.461398669,0.581187256
6,97,457,F,1,0,97,1.701687761,0.326400103,0.498488277,0.476226361
6,97,458,F,1,1,97,1.67671079,0.347497888,0.51616358,0.550569583
6,97,459,B,1,1,97,1.685180736,0.32886672,0.411330102,0.574957287
6,97,460,B,1,1,97,1.697060744,0.349029221,0.427371991,0.617767244
6,97,461,B,1,1,97,1.719544195,0.37592391,0.394850395,0.606778112
6,97,462,B,1,1,97,1.683498813,0.330182845,0.432211227,0.58302803
6,98,463,F,1,1,98,1.695780143,0.44935502,0.397849357,0.507884575
6,98,464,F,1,0,98,1.664488194,0.35217186,0.337305931,0.556748398
6,98,465,F,1,0,98,1.717247553,0.49000822,0.584025984,0.511949609
6,98,466,F,1,1,98,1.666470603,0.435270029,0.342245077,0.548924869
6,98,467,F,1,0,98,1.657708935,0.357235951,0.324504937,0.576820489
6,98,468,B,1,1,98,1.669850211,0.340080066,0.386141992,0.501076489
6,98,469,B,1,1,98,1.757169239,0.596191981,0.630775993,0.69230225
6,98,470,B,1,1,98,1.671742932,0.356433478,0.382131375,0.523607943
6,98,471,B,1,0,98,1.673824302,0.364796829,0.426563077,0.537238206
6,98,472,B,1,1,98,1.697548451,0.375894623,0.430076365,0.398127292
7,99,473,F,1,0,99,1.740305357,0.316857692,0.28771038,0.682760153
7,99,474,F,1,1,99,1.738730397,0.265254288,0.153976101,0.749157499
7,99,475,F,1,1,99,1.717108714,0.440438282,0.390893975,0.311401461
7,99,476,F,1,0,99,1.755608085,0.377768218,0.239362363,0.78669167
7,99,477,F,1,1,99,1.733673618,0.331658895,0.360297587,0.799849299
7,99,478,B,1,1,99,1.729918956,0.285587205,0.372452814,0.75227959
7,99,479,B,1,0,99,1.726222372,0.298497897,0.395000815,0.6663905
7,99,480,B,1,1,99,1.740091473,0.387359891,0.724939951,0.949056172
7,99,481,B,1,0,99,1.730606599,0.337895353,0.351818587,0.773427775
7,99,482,B,1,1,99,1.720336086,0.340734403,0.338344314,0.660125378
7,100,483,F,1,1,100,1.657252817,0.427276352,0.422975939,0.566891985
7,100,484,F,1,1,100,1.690445083,0.288849462,0.238340535,0.474825231
7,100,485,F,1,1,100,1.714839292,0.261830679,0.26069874,0.484691884
7,100,486,F,1,0,100,1.718384085,0.420918156,0.391873202,0.598719007
7,100,487,F,1,0,100,1.704346978,0.251903793,0.320267809,0.419641773
7,100,488,B,1,1,100,1.753431093,0.342179375,0.236035249,0.509336538
7,100,489,B,1,1,100,1.752903064,0.369556781,0.238166444,0.572332264
7,100,490,B,1,0,100,1.750444521,0.367834183,0.276448523,0.513533102
7,100,491,B,1,0,100,1.75441935,0.355060036,0.270718126,0.43207913
7,100,492,B,1,0,100,1.754866237,0.394805085,0.262928462,0.538883885
7,101,493,F,1,0,101,1.741092435,0.300429603,0.478131416,0.450075799
7,101,494,F,1,1,101,1.742954981,0.462674722,0.785711469,0.777232543
7,101,495,F,1,0,101,1.714704917,0.245676647,0.465614717,0.435289276
7,101,496,F,1,1,101,1.754558121,0.341981938,0.47938181,0.612050448
7,101,497,F,1,1,101,1.722919973,0.345627009,0.720937123,0.67254508
8,102,498,F,1,0,102,1.749437005,0.292072377,0.414595228,0.806522872
8,102,499,F,1,1,102,1.739374833,0.256002365,0.394486652,0.754693546
8,102,500,F,1,1,102,1.74649626,0.197134209,0.304789357,0.733548004
8,102,501,B,1,0,102,1.70571847,0.389334063,0.616686959,0.75665386
8,102,502,B,1,1,102,1.699719843,0.307228459,0.396126076,0.494479949
8,102,503,B,1,0,102,1.726406851,0.286404329,0.405883051,0.561652008
8,102,504,B,1,1,102,1.69617492,0.255266048,0.371539078,0.487118592
8,102,505,B,1,0,102,1.656152736,0.283134923,0.392475666,0.335345874
8,102,506,F,1,0,102,1.721066524,0.254657878,0.42808444,0.630424049
8,103,507,F,1,1,103,1.672752646,0.236028597,0.268276378,0.386628574
8,103,508,F,1,1,103,1.684122079,0.379748103,0.379702263,0.588115929
8,103,509,F,1,0,103,1.749958124,0.3639353,0.279737606,0.49096581
8,103,510,F,1,0,103,1.702845266,0.270884475,0.330515357,0.517884368
8,103,511,F,1,0,103,1.723244865,0.309371345,0.278786007,0.502620525
8,103,512,B,1,1,103,1.723845541,0.313481427,0.222172243,0.586922799
8,103,513,B,1,0,103,1.708572753,0.224027618,0.234566303,0.546482039
8,103,514,B,1,1,103,1.688258995,0.285995126,0.224154795,0.555508006
8,103,515,B,1,1,103,1.730216047,0.272559104,0.244234044,0.567117035
8,103,516,B,1,0,103,1.723410496,0.306011305,0.216560937,0.529052698
8,104,517,F,1,1,104,1.728391166,0.380163184,0.273983724,0.650543637
8,104,518,F,1,1,104,1.745687818,0.496650234,0.443409056,0.665679961
8,104,519,F,1,1,104,1.686729271,0.288293181,0.216327373,0.676003803
8,104,520,F,1,1,104,1.736863452,0.303777151,0.261670705,0.643501758
8,104,521,B,1,1,104,1.656554483,0.250617366,0.236564939,0.508953043
8,104,522,B,1,0,104,1.721513846,0.246878472,0.301374676,0.517353751
8,104,523,B,1,1,104,1.653918128,0.270270994,0.230008045,0.575293665
8,104,524,B,1,1,104,1.654720609,0.230296572,0.236416639,0.606227738
9,105,525,F,1,1,105,1.714199368,0.334240753,0.229385147,0.559242266
9,105,526,F,1,1,105,1.676900656,0.394805229,0.445863253,0.590747122
9,105,527,F,1,0,105,1.718030207,0.351687264,0.260956583,0.665952452
9,105,528,F,1,1,105,1.722670572,0.478821395,0.227967161,0.599909255
9,105,529,F,1,0,105,1.717538031,0.360451869,0.23681897,0.606325237
9,105,530,B,1,0,105,1.736967375,0.387098726,0.208852099,0.782960943
9,105,531,B,1,1,105,1.735116655,0.544192589,0.105597556,0.64071085
9,105,532,B,1,1,105,1.730334465,0.34762044,0.156249447,0.767391304
9,105,533,B,1,0,105,1.739734656,0.418602214,0.147940366,0.625893596
9,105,534,B,1,0,105,1.736397169,0.515854328,0.117755311,0.640543044
9,106,535,F,1,1,106,1.741947322,0.371259871,0.412412078,0.568085706
9,106,536,F,1,1,106,1.726155545,0.401142313,0.38622264,0.533861722
9,106,537,F,1,0,106,1.733733382,0.409499211,0.384784822,0.489264858
9,106,538,F,1,1,106,1.739090631,0.425445246,0.384068759,0.512135518
9,106,539,F,1,1,106,1.7162992,0.340179724,0.408369494,0.542300379
9,106,540,B,1,1,106,1.748176582,0.317215019,0.370503816,0.501798709
9,106,541,B,1,1,106,1.739583818,0.265002176,0.373523992,0.59530534
9,106,542,B,1,1,106,1.754917663,0.257635023,0.3916431,0.593062182
9,106,543,B,1,1,106,1.739161422,0.303177116,0.440778059,0.622093327
9,106,544,B,1,1,106,1.735369321,0.395936007,0.285954896,0.495441904
9,107,545,F,1,1,107,1.689680182,0.333560374,0.324006886,0.502693923
9,107,546,F,1,1,107,1.658903778,0.35667282,0.209128087,0.467647952
9,107,547,F,1,0,107,1.675868721,0.32037024,0.276284516,0.563496768
9,107,548,F,1,1,107,1.693839338,0.301874772,0.273443054,0.542909687
9,107,549,F,1,0,107,1.665000979,0.276410202,0.292665905,0.507168404
